n,pattern,seed,alpha,L,rho,tau,c_star_N,C_N_online,r,r_star_star,k,n_feasible,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires,note
10,B_heavy,42,0.5,1.5811,4.0,0.0891,5.2697,7.4963,1.422531,1.132391,10,522,False,1.606474,True,True,
10,B_heavy,42,1.0,3.1623,4.0,0.1781,10.5393,14.9925,1.422531,1.132391,10,522,False,3.212949,True,True,
10,B_heavy,42,2.0,6.3246,4.0,0.3562,21.0787,29.9851,1.422531,1.132391,10,522,False,6.425897,True,True,
10,B_heavy,42,5.0,15.8114,4.0,0.8905,52.6967,74.9627,1.422531,1.132391,10,522,False,16.064743,True,True,
10,B_medium,42,0.5,1.5811,2.0,0.1781,5.2697,7.4963,1.422531,1.132391,10,522,False,1.606474,True,True,
10,B_medium,42,1.0,3.1623,2.0,0.3562,10.5393,14.9925,1.422531,1.132391,10,522,False,3.212949,True,True,
10,B_medium,42,2.0,6.3246,2.0,0.7124,21.0787,29.9851,1.422531,1.132391,10,522,False,6.425897,True,True,
10,B_medium,42,5.0,15.8114,2.0,1.781,52.6967,74.9627,1.422531,1.132391,10,522,False,16.064743,True,True,
10,C,42,0.5,1.5811,2.0,0.1781,5.2697,6.6034,1.253096,1.132391,10,522,False,0.802896,True,True,
10,C,42,1.0,3.1623,2.0,0.3562,10.5393,13.2068,1.253096,1.132391,10,522,False,1.605792,True,True,
10,C,42,2.0,6.3246,2.0,0.7124,21.0787,26.4136,1.253096,1.132391,10,522,False,3.211585,True,True,
10,C,42,5.0,15.8114,2.0,1.781,52.6967,66.0341,1.253096,1.132391,10,522,False,8.028962,True,True,
20,B_heavy,42,0.5,2.2361,4.0,0.0891,9.4925,14.1399,1.489589,1.103939,20,32793,False,4.122109,True,True,
20,B_heavy,42,1.0,4.4721,4.0,0.1781,18.985,28.2799,1.489589,1.103939,20,32793,False,8.244217,True,True,
20,B_heavy,42,2.0,8.9443,4.0,0.3562,37.9701,56.5598,1.489589,1.103939,20,32793,False,16.488435,True,True,
20,B_heavy,42,5.0,22.3607,4.0,0.8905,94.9252,141.3995,1.489589,1.103939,20,32793,False,41.221087,True,True,
20,B_medium,42,0.5,2.2361,2.0,0.1781,9.4925,14.1399,1.489589,,17,59394,True,-1.492803,False,False,
20,B_medium,42,1.0,4.4721,2.0,0.3562,18.985,28.2799,1.489589,,17,59394,True,-2.985606,False,False,
20,B_medium,42,2.0,8.9443,2.0,0.7124,37.9701,56.5598,1.489589,,17,59394,True,-5.971213,False,False,
20,B_medium,42,5.0,22.3607,2.0,1.781,94.9252,141.3995,1.489589,,17,59394,True,-14.928033,False,False,
20,C,42,0.5,2.2361,2.0,0.1781,9.4925,12.7852,1.346868,1.103939,20,32793,False,2.835068,True,True,
20,C,42,1.0,4.4721,2.0,0.3562,18.985,25.5703,1.346868,1.103939,20,32793,False,5.670135,True,True,
20,C,42,2.0,8.9443,2.0,0.7124,37.9701,51.1407,1.346868,1.103939,20,32793,False,11.340271,True,True,
20,C,42,5.0,22.3607,2.0,1.781,94.9252,127.8517,1.346868,1.103939,20,32793,False,28.350677,True,True,
