n,pattern,seed,r,c_star_N,C_N_online,B_n1_in_F,B_n2_in_F,lp_feasible,sum_lambda_c,r_diamond,fires,lp_reason,elapsed_s
10,A,123,1.052896,9.949941,10.476256,10,45,True,10.437176,1.048969,True,,0.52
10,B_heavy,256,1.126124,9.707825,10.932219,10,45,True,10.173549,1.047974,True,,0.07
10,C,123,1.123811,9.949941,11.181853,10,45,True,10.437176,1.048969,True,,0.07
15,A,42,1.047533,14.088287,14.757949,15,105,True,14.785061,1.049458,False,,10.0
15,A,99,1.050691,15.343733,16.121523,15,105,True,15.960282,1.040182,True,,10.12
15,A,123,1.074861,13.154948,14.139736,15,105,True,13.700072,1.041439,True,,10.17
15,B_heavy,7,1.184894,15.429955,18.282863,15,105,True,16.079243,1.04208,True,,10.24
15,C,42,1.068029,14.088287,15.046705,15,105,True,14.785061,1.049458,True,,10.36
15,C,99,1.147576,15.343733,17.608099,15,105,True,15.960282,1.040182,True,,10.32
15,C,123,1.140553,13.154948,15.003912,15,105,True,13.700072,1.041439,True,,10.28
